Unnamed: 0,Brand,Model,Year,Price,Город,Кузов,"Объем двигателя, л",Пробег,Коробка передач,Руль,Цвет,Привод,Растаможен в Казахстане,VIN,Аварийная/Не на ходу,Двигатель
6, Toyota,Avensis ,2006,"    4100000
    ₸
",Нур-Султан (Астана),седан,1.8 (бензин),,механика,слева,серебристый,передний привод,Да,,,
7, Lexus,LX 470 ,2007,"    8600000
    ₸
",Нур-Султан (Астана),внедорожник,4.7 (бензин),241 000 км,автомат,слева,черный,полный привод,Да,,,
8, Mercedes-Benz,S 500 ,1998,"    4500000
    ₸
",Павлодар,седан,5 (бензин),,автомат,слева,черный,задний привод,Да,,,
9, Hyundai,Accent ,2014,"    4400000
    ₸
",Алматы,седан,1.4 (бензин),74 000 км,механика,слева,серебристый,передний привод,Да,Z94CT41C*FR****10,,
10, Daewoo,Matiz ,2012,"    1800000
    ₸
",Ленгер,хэтчбек,0.8 (бензин),,автомат,слева,белый,передний привод,Да,,,
11, Skoda,Octavia ,2011,"    3200000
    ₸
",Тараз,лифтбек,1.6 (бензин),164 000 км,механика,слева,серый,передний привод,Да,,,
12, Toyota,Harrier ,1999,"    3000000
    ₸
",Нур-Султан (Астана),кроссовер,2.2 (бензин),,автомат,справа,белый,передний привод,Да,,,
13, Toyota,Land Cruiser Prado ,2010,"    12900000
    ₸
",Алматы,внедорожник,3 (дизель),200 000 км,автомат,слева,белый,полный привод,Да,,,
14, Hyundai,Sonata ,2010,"    5500000
    ₸
",Уральск,седан,2 (бензин),167 000 км,автомат,слева,черный,передний привод,Да,,,
15, Nissan,Primera ,2002,"    2650000
    ₸
",Шымкент,седан,2 (бензин),340 000 км,автомат,слева,серебристый металлик,передний привод,Да,,,
16, Volkswagen,Passat ,2008,"    4400000
    ₸
",Павлодар,седан,1.8 (бензин),290 000 км,типтроник,слева,черный металлик,передний привод,Да,,,
17, Toyota,Land Cruiser ,2010,"    16500000
    ₸
",Нур-Султан (Астана),внедорожник,4.7 (бензин),173 500 км,автомат,слева,серый,полный привод,Да,,,
18, Toyota,Camry ,2014,"    11100000
    ₸
",Алматы,седан,2.5 (бензин),,автомат,слева,,,Да,,,
19, Opel,Zafira ,2000,"    1500000
    ₸
",Жезказган,минивэн,2.2 (бензин),,механика,слева,черный металлик,передний привод,Нет,,,
0, Mercedes-Benz,S 500 ,1998,"    4500000
    ₸
",Павлодар,седан,5 (бензин),,автомат,слева,черный,задний привод,Да,,,
1, Hyundai,Accent ,2014,"    4400000
    ₸
",Алматы,седан,1.4 (бензин),74 000 км,механика,слева,серебристый,передний привод,Да,Z94CT41C*FR****10,,
2, Daewoo,Matiz ,2012,"    1800000
    ₸
",Ленгер,хэтчбек,0.8 (бензин),,автомат,слева,белый,передний привод,Да,,,
3, Skoda,Octavia ,2011,"    3200000
    ₸
",Тараз,лифтбек,1.6 (бензин),164 000 км,механика,слева,серый,передний привод,Да,,,
4, Toyota,Harrier ,1999,"    3000000
    ₸
",Нур-Султан (Астана),кроссовер,2.2 (бензин),,автомат,справа,белый,передний привод,Да,,,
5, Toyota,Land Cruiser Prado ,2010,"    12900000
    ₸
",Алматы,внедорожник,3 (дизель),200 000 км,автомат,слева,белый,полный привод,Да,,,
6, Hyundai,Sonata ,2010,"    5500000
    ₸
",Уральск,седан,2 (бензин),167 000 км,автомат,слева,черный,передний привод,Да,,,
7, Nissan,Primera ,2002,"    2650000
    ₸
",Шымкент,седан,2 (бензин),340 000 км,автомат,слева,серебристый металлик,передний привод,Да,,,
8, Volkswagen,Passat ,2008,"    4400000
    ₸
",Павлодар,седан,1.8 (бензин),290 000 км,типтроник,слева,черный металлик,передний привод,Да,,,
9, Toyota,Land Cruiser ,2010,"    16500000
    ₸
",Нур-Султан (Астана),внедорожник,4.7 (бензин),173 500 км,автомат,слева,серый,полный привод,Да,,,
10, Toyota,Camry ,2014,"    11100000
    ₸
",Алматы,седан,2.5 (бензин),,автомат,слева,,,Да,,,
11, Opel,Zafira ,2000,"    1500000
    ₸
",Жезказган,минивэн,2.2 (бензин),,механика,слева,черный металлик,передний привод,Нет,,,
12, Hyundai,Creta ,2017,"    7200000
    ₸
",Нур-Султан (Астана),кроссовер,1.6 (бензин),60 000 км,автомат,слева,,передний привод,Да,,,
13, Toyota,Previa ,2008,"    7650000
    ₸
",Казалинск,универсал,2.4 (газ-бензин),,автомат,слева,белый,передний привод,Да,,,
14, BMW,X6 ,2009,"    10150000
    ₸
",Нур-Султан (Астана),кроссовер,3.5 (бензин),132 000 км,автомат,слева,белый,полный привод,Да,,,
15, Hyundai,Tucson ,2019,"    11800000
    ₸
",Нур-Султан (Астана),кроссовер,2 (бензин),28 000 км,автомат,слева,белый металлик,полный привод,Да,,,
